country,year,tourism_receipts,tourism_arrivals,tourism_exports,tourism_expenditures,gdp,inflation
Aruba,1999,782000000.0,972000.0,62.542949184803,9.49538738257672,1722905027.93296,2.28037198258753
Africa Eastern and Southern,1999,8034209108.0477,15309377.8420342,12.204030084827,7.76053600068794,265429291101.256,7.81986477630863
Afghanistan,1999,1553000000.0,2508000.0,8.306797469109375,5.75478960512289,36818026222.31535,3.6294334991175647
Africa Western and Central,1999,1443612846.65482,3897975.03054576,3.97447599011214,6.14729140864185,139468349993.665,0.372266170311928
Angola,1999,31000000.0,45000.0,0.583858020796646,2.48963819595907,6152923310.44546,248.195902412868
Albania,1999,218000000.0,371000.0,55.9691912708601,3.69900655252589,3212121650.97755,0.389437653561617
Andorra,1999,1553000000.0,9422000.0,8.306797469109375,5.75478960512289,1240295198.78331,3.6294334991175647
Arab World,1999,1553000000.0,2508000.0,8.306797469109375,5.75478960512289,665415371173.92,2.66937369053699
United Arab Emirates,1999,893000000.0,2508000.0,8.306797469109375,5.75478960512289,84445473110.9598,3.6294334991175647
Argentina,1999,3175000000.0,2898000.0,11.3403716663803,15.8890915730279,283523000000.0,3.6294334991175647
Armenia,1999,47000000.0,41000.0,12.1823925006259,5.64556729384852,1845482173.02732,0.648245760470385
American Samoa,1999,1553000000.0,41000.0,8.306797469109375,5.75478960512289,36818026222.31535,3.6294334991175647
Antigua and Barbuda,1999,1553000000.0,560000.0,8.306797469109375,5.75478960512289,835514814.814815,1.12128789571146
Australia,1999,11408000000.0,4459000.0,15.2472278149506,10.3624643864898,389652212056.649,1.48312940304041
Austria,1999,12358000000.0,17467000.0,8.306797469109375,5.75478960512289,216421809125.916,0.568993765885568
Azerbaijan,1999,93000000.0,602000.0,7.25417134352713,7.76645184695607,4581248566.50158,-8.52517000536064
Burundi,1999,1200000.04768372,26000.0,2.01936435859824,5.75478960512289,808077223.365746,3.38542427340455
Belgium,1999,1553000000.0,6369000.0,8.306797469109375,5.75478960512289,258245733221.468,1.12084823417845
Benin,1999,94400001.5258789,941000.0,15.7720889749429,7.40481988818893,3677393998.74486,0.326722893396852
Burkina Faso,1999,1553000000.0,117000.0,8.306797469109375,5.75478960512289,3389566712.66037,-1.07261362759534
Bangladesh,1999,1553000000.0,173000.0,8.306797469109375,4.19827606823103,51270569883.5275,6.10669589841958
Bulgaria,1999,1184000000.0,5056000.0,20.4322005508379,11.3846177610722,13627325461.1743,2.57304281890206
Bahrain,1999,785000000.0,3280000.0,15.033403511688,9.47527792358457,7528469148.93617,-1.2875879718491
"Bahamas, The",1999,1598000000.0,3648000.0,72.3928603787261,11.8737551708289,7683870000.0,1.2542482602363
Bosnia and Herzegovina,1999,258000000.0,147000.0,19.9156145188357,2.28850801574026,4686256363.04707,3.6294334991175647
Belarus,1999,92000000.0,2508000.0,1.43756738597122,1.99843731217694,12138243080.6258,293.678750889773
Belize,1999,1553000000.0,340000.0,8.306797469109375,8.29579210754185,1000250000.0,2.62139524582746
Bermuda,1999,1553000000.0,549000.0,8.306797469109375,5.75478960512289,3324433000.0,3.6294334991175647
Bolivia,1999,124000000.0,342000.0,9.46131542804822,5.88324030773872,8285064434.56826,2.15951626835598
Brazil,1999,1718000000.0,5107000.0,3.15258271554129,5.50654159852086,599642024319.531,4.85844749902667
Barbados,1999,734000000.0,947000.0,58.1080347116836,9.75938655075125,2951822204.54432,1.56006240249605
Brunei Darussalam,1999,1553000000.0,967000.0,8.306797469109375,5.75478960512289,6309070374.83966,-0.415627597672454
Bhutan,1999,9000000.0,7199.99980926514,8.306797469109375,5.75478960512289,399311199.50776,6.77699393553632
Botswana,1999,239000000.0,1039000.0,7.99500163230401,6.48125345862757,5484263346.88105,7.74929619202848
Central African Republic,1999,8000000.0,10000.0,8.306797469109375,5.75478960512289,999477510.686632,-1.41420220082551
Canada,1999,12024000000.0,49055000.0,4.24503233197878,5.40184731174687,678412196271.118,1.73484295105918
