country,country_code,year,tourism_receipts,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures,gdp,inflation,unemployment
Australia,AUS,1999,11408000000.0,4459000.0,15.2472278149506,3210000.0,10.3624643864898,389652212056.649,1.48312940304041,6.876
Azerbaijan,AZE,1999,93000000.0,602000.0,7.25417134352713,1204000.0,7.76645184695607,4581248566.50158,-8.52517000536064,16.25
Bulgaria,BGR,1999,1184000000.0,5056000.0,20.4322005508379,2376000.0,11.3846177610722,13627325461.1743,2.57304281890206,14.1
Bolivia,BOL,1999,124000000.0,342000.0,9.46131542804822,253000.0,5.88324030773872,8285064434.56826,2.15951626835598,3.93
Brazil,BRA,1999,1718000000.0,5107000.0,3.15258271554129,2863000.0,5.50654159852086,599642024319.531,4.85844749902667,11.125
Central Europe and the Baltics,CEB,1999,20282583054.1823,200062962.010076,14.1328669244884,103358915.15008,6.42736969155193,435931046765.369,4.01913875598086,10.4170865946518
China,CHN,1999,15006000000.0,72796000.0,10.0117424141336,9232000.0,9.74564544669289,1094003874937.34,-1.40147268276465,3.1
Colombia,COL,1999,1231000000.0,725000.0,8.83044689708908,1098000.0,10.0158366908174,86278947636.962,10.8736870857471,20.06
Cyprus,CYP,1999,2115000000.0,2578000.0,42.7509955418637,540000.0,11.5009547225479,10497907227.616,1.62999999999999,5.532
Germany,DEU,1999,25327000000.0,17116000.0,4.38886162828189,78100000.0,10.8393479009007,2213873468586.88,0.585433064230783,8.854
Europe & Central Asia,ECS,1999,239023295299.942,706815710.672398,7.97984412910195,431290829.636164,8.50907811575598,10686910522225.9,2.36481836111807,10.3875081368802
Ecuador,ECU,1999,377000000.0,518000.0,7.0533208606174,386000.0,9.14800038968106,19645272636.3182,52.2420051858225,13.96
Estonia,EST,1999,702000000.0,3181000.0,21.7800403795474,1780000.0,7.22674209137976,5756912265.75809,3.29611089718909,11.573
European Union,EUU,1999,191095627788.803,622202305.739753,8.19720421254919,312875355.598599,8.61851797580823,7936013301296.29,2.15717918055059,10.192736775132
Georgia,GEO,1999,131000000.0,384000.0,23.9751098096633,373000.0,12.4149347066397,2800025882.71672,19.1926758218895,13.8
High income,HIC,1999,402119156859.716,886282224.338507,7.41727911768253,610109478.390196,7.60302609956815,27417627997191.3,2.13510866611858,7.82288191487276
"Hong Kong SAR, China",HKG,1999,7343000000.0,11328000.0,3.93027426522633,53144000.0,7.36730482256391,165768095391.557,-4.00943396226445,6.25
Hungary,HUN,1999,3622000000.0,28803000.0,13.1402379220679,10622000.0,5.4793817018987,49073380173.7159,9.99774409303368,6.929
Iceland,ISL,1999,380000000.0,281000.0,13.0412750545675,257000.0,13.2650671510346,8982047589.4895,3.23183260906467,2.178
Israel,ISR,1999,4800000000.0,2566000.0,12.7088352881993,3203000.0,8.35505173224643,121166507717.951,5.18102372034954,11.183
Italy,ITA,1999,29570000000.0,59521000.0,10.1884120129302,42390000.0,7.28281860995337,1255004736463.98,1.66345995007714,11.681
Japan,JPN,1999,5715000000.0,4438000.0,1.24217118551517,16358000.0,10.5426488865273,4635982224063.88,-0.341296928327554,4.677
Cambodia,KHM,1999,240000000.0,368000.0,16.850786907405,49000.0,2.17672374634246,3517242477.2548,4.00820702088782,0.039
"Korea, Rep.",KOR,1999,8337000000.0,4660000.0,5.07557659572914,4342000.0,4.03212050342349,497514040642.262,0.81295725444637,6.342
Kuwait,KWT,1999,342000000.0,1884000.0,2.48099077758979,1209000.0,21.6675428476621,30122365849.2518,2.99081035923166,0.7
Latin America & Caribbean (excluding high income),LAC,1999,24370717865.1187,131143148.537439,7.8829873559968,135650716.246936,5.88402276091197,1810330944033.68,5.03602904251894,9.63285000653512
Latin America & Caribbean,LCN,1999,35440720363.5849,154422845.400535,8.27732204664381,140035995.897865,5.96970840735046,2107777544518.75,3.45439793587507,9.72586092279094
Sri Lanka,LKA,1999,414000000.0,465000.0,7.44537122052094,497000.0,5.03013529951607,15656327859.5696,4.69170563048438,8.88
Latvia,LVA,1999,153000000.0,1738000.0,5.77794561933535,2256000.0,9.61279310035037,7324192889.74297,2.36481836111807,13.79
Morocco,MAR,1999,2177000000.0,4088000.0,24.6893853464198,1545000.0,5.69297115651861,46266428648.1433,0.684782608695643,13.94
Mexico,MEX,1999,8135000000.0,99869000.0,5.49306538140146,117383000.0,3.31871409519047,631249359702.389,16.5856169707538,2.598
Malaysia,MYS,1999,4403000000.0,7931000.0,4.58800653400311,26067000.0,3.12847354712411,79148421052.6316,2.74456130240604,3.43
North America,NAC,1999,139171367153.035,125400000.0,9.62175844483403,111304509.810631,6.11866251025308,10312908629271.1,1.96143507401638,4.55496250300763
Netherlands,NLD,1999,12451000000.0,9874000.0,5.14595501853017,14184000.0,6.02734851865968,447778514140.155,2.15717918055059,3.623
Norway,NOR,1999,2750000000.0,3223000.0,4.40086068027495,2271000.0,10.1947382427878,162383706021.13,2.36596736596734,3.247
Nepal,NPL,1999,229000000.0,492000.0,18.068554825959,125000.0,6.79705556739603,5033642384.10596,7.4511126095755,1.85
OECD members,OED,1999,391952446660.29,883337847.075084,7.64982870763221,642904827.755098,7.60726060720295,27081535073158.7,2.17260318876209,7.17564709994097
Panama,PAN,1999,506000000.0,555000.0,7.11833886669293,221000.0,3.34314332920281,11660704800.0,1.24718256949636,11.75
Philippines,PHL,1999,2652000000.0,2171000.0,11.2472963229993,1755000.0,5.5715935334873,85640171045.1254,5.93904901780808,9.809
Poland,POL,1999,6498000000.0,89118000.0,16.9117455690602,55097000.0,7.31089534482097,170704452714.673,7.15407291179862,12.29
Paraguay,PRY,1999,95000000.0,6569000.0,2.48969909197599,281000.0,5.80686557587424,8837070235.51892,6.75226586102725,5.343
Post-demographic dividend,PST,1999,374758113121.279,702246548.439962,7.34017964939915,526129612.269729,7.59154631772883,25955128886911.1,1.6117611762866,6.96107705880904
Romania,ROU,1999,306000000.0,5224000.0,3.15887271601115,6274000.0,3.82176980087508,35953156753.739,45.8037811326363,6.239
Singapore,SGP,1999,5089000000.0,6958000.0,3.3368799572395,3971000.0,3.05946630511628,86286849754.8905,0.0167098337370801,4.85
Thailand,THA,1999,9416000000.0,8651000.0,13.1857866476755,1655000.0,5.09365826269473,126669211778.94,0.284726459223034,2.968
Latin America & the Caribbean (IDA & IBRD countries),TLA,1999,25857520346.4108,137308046.836191,7.66739366584828,138591069.865953,5.91226371759852,2002860177034.08,3.4867289020098,9.79568108762619
Tunisia,TUN,1999,2118000000.0,4832000.0,24.2441817041397,1480000.0,3.00282582775383,22943202174.9668,2.6901248581158,15.21
United States,USA,1999,109188000000.0,75796000.0,11.1813263616451,84540000.0,6.26940423618921,9631172000000.0,2.18802719697358,4.219
World,WLD,1999,583237468517.247,1254467157.97263,7.66454868384689,1043185310.63002,7.37784576271618,32747088959180.2,3.04194667094533,6.21420027894903
Australia,AUS,2000,11594000000.0,4931000.0,13.8041313058601,3498000.0,10.2698524856961,416167815092.908,4.45743514797224,6.288
Azerbaijan,AZE,2000,68000000.0,681000.0,3.21041988987316,1326000.0,6.8198193835081,5272615722.96892,1.80500303704356,11.78
Bulgaria,BGR,2000,1364000000.0,4922000.0,19.4862686016316,2337000.0,9.96115845510655,13245990274.4581,10.316262128999,16.218
Belarus,BLR,2000,188000000.0,2030000.0,2.66749907772638,4747000.0,3.24364075693706,12736780455.1539,168.620235850933,2.1
Bolivia,BOL,2000,101000000.0,319000.0,6.87063567684123,201000.0,5.58272051746044,8397855484.76908,4.60822998872598,4.47
Central Europe and the Baltics,CEB,2000,20466141200.5826,206946379.303475,12.3615068475293,106599221.424411,5.46495802288364,429355161034.99,8.91174418658769,11.9375327722496
China,CHN,2000,17318000000.0,83444000.0,9.11284789262419,10473000.0,8.79156471423692,1211331651866.09,0.347811226864587,3.707
